delivery_no	scope_group	scope_group_no	name_en	name_ja	slug	page_kind	programme_status	acquisition_status	note_status	note_ref	profile_status	en_route_status	ja_route_status	qa_status	source_last_checked	evidence_reviewed_at	profile_last_reviewed	page_published_at	remarks
01	v0_candidate	3	United Arab Emirates	UAE	united-arab-emirates	country	published	remote_complete	reviewed	docs/country-page-notes/01-uae.md	reviewed	published	published	passed	2026-06-01	2026-06-15	2026-06-17	2026-06-17	Published after bilingual route, metadata, responsive, accessibility, and public-boundary QA.
02	v0_candidate	7	South Korea	韓国	south-korea	country	published	local_complete	reviewed	docs/country-page-notes/02-south-korea.md	reviewed	published	published	passed	2026-06-09	2026-06-15	2026-06-17	2026-06-17	Published after bilingual route, metadata, responsive, accessibility, and public-boundary QA.
03	v0_candidate	6	Turkey	トルコ	turkey	country	published	local_complete	reviewed	docs/country-page-notes/03-turkey.md	reviewed	published	published	passed	2026-06-10	2026-06-15	2026-06-17	2026-06-17	Published after bilingual route, metadata, responsive, accessibility, and public-boundary QA.
04	v0_candidate	26	Morocco	モロッコ	morocco	country	published	pending_unreachable	reviewed	docs/country-page-notes/04-morocco.md	reviewed	published	published	passed	2026-06-10	2026-06-15	2026-06-17	2026-06-17	Published after bilingual route, metadata, responsive, accessibility, and public-boundary QA.
05	v0_candidate	9	Chile	チリ	chile	country	published	local_complete	reviewed	docs/country-page-notes/05-chile.md	reviewed	published	published	passed	2026-06-10	2026-06-15	2026-06-17	2026-06-17	Published after bilingual route, metadata, responsive, accessibility, and public-boundary QA.
06	v0_candidate	10	Peru	ペルー	peru	country	published	local_complete	reviewed	docs/country-page-notes/06-peru.md	reviewed	published	published	passed	2026-06-15	2026-06-15	2026-06-17	2026-06-17	Published after bilingual route, metadata, responsive, accessibility, and public-boundary QA.
07	v0_candidate	18	Mexico	メキシコ	mexico	country	published	pending_unreachable	reviewed	docs/country-page-notes/07-mexico.md	reviewed	published	published	passed		2026-06-15	2026-06-17	2026-06-17	Published after bilingual route, metadata, responsive, accessibility, and public-boundary QA.
08	v0_1_candidate	14	Brazil	ブラジル	brazil	country	published	local_complete	reviewed	docs/country-page-notes/08-brazil.md	reviewed	published	published	passed	2026-06-14	2026-06-15	2026-06-17	2026-06-17	Published after bilingual route, metadata, responsive, accessibility, and public-boundary QA.
09	v0_candidate	24	Bahrain	バーレーン	bahrain	country	published	local_complete	reviewed	docs/country-page-notes/09-bahrain.md	reviewed	published	published	passed		2026-06-15	2026-06-17	2026-06-17	Published after bilingual route, metadata, responsive, accessibility, and public-boundary QA.
10	v0_candidate	5	Qatar	カタール	qatar	country	published	local_complete	reviewed	docs/country-page-notes/10-qatar.md	reviewed	published	published	passed	2026-06-15	2026-06-15	2026-06-17	2026-06-17	Published after bilingual route, metadata, responsive, accessibility, and public-boundary QA.
11	v0_candidate	25	Oman	オマーン	oman	country	published	pending_unreachable	reviewed	docs/country-page-notes/11-oman.md	reviewed	published	published	passed		2026-06-15	2026-06-17	2026-06-17	Published after bilingual route, metadata, responsive, accessibility, and public-boundary QA.
12	v0_candidate	27	Zimbabwe	ジンバブエ	zimbabwe	country	published	local_complete	reviewed	docs/country-page-notes/12-zimbabwe.md	reviewed	published	published	passed	2026-06-15	2026-06-15	2026-06-17	2026-06-17	Published after bilingual route, metadata, responsive, accessibility, and public-boundary QA.
13	v0_candidate	1	Japan	日本	japan	country	published	remote_partial	reviewed	docs/country-page-notes/13-japan.md	reviewed	published	published	passed	2026-06-17	2026-06-17	2026-06-18	2026-06-18	Published after bilingual route and public-boundary QA.
14	v0_candidate	2	Hong Kong	香港	hong-kong	country	published	remote_complete	reviewed	docs/country-page-notes/14-hong-kong.md	reviewed	published	published	passed	2026-06-17	2026-06-17	2026-06-18	2026-06-18	Published after bilingual route and public-boundary QA.
15	v0_candidate	4	New Zealand	ニュージーランド	new-zealand	country	published	remote_partial	reviewed	docs/country-page-notes/15-new-zealand.md	reviewed	published	published	passed	2026-06-17	2026-06-17	2026-06-18	2026-06-18	Published after bilingual route and public-boundary QA.
16	v0_candidate	8	South Africa	南アフリカ	south-africa	country	published	remote_partial	reviewed	docs/country-page-notes/16-south-africa.md	reviewed	published	published	passed	2026-06-17	2026-06-17	2026-06-18	2026-06-18	Published after bilingual route and public-boundary QA.
17	v0_candidate	11	Uruguay	ウルグアイ	uruguay	country	published	remote_complete	reviewed	docs/country-page-notes/17-uruguay.md	reviewed	published	published	passed	2026-06-17	2026-06-17	2026-06-18	2026-06-18	Published after bilingual route and public-boundary QA.
18	v0_candidate	12	Sweden	スウェーデン	sweden	country	published	remote_complete	reviewed	docs/country-page-notes/18-sweden.md	reviewed	published	published	passed	2026-06-17	2026-06-17	2026-06-18	2026-06-18	Published after bilingual route and public-boundary QA.
19	v0_candidate	13	Denmark	デンマーク	denmark	country	published	remote_partial	reviewed	docs/country-page-notes/19-denmark.md	reviewed	published	published	passed	2026-06-17	2026-06-17	2026-06-18	2026-06-18	Published after bilingual route and public-boundary QA.
20	v0_candidate	14	Czech Republic	チェコ	czech-republic	country	published	remote_partial	reviewed	docs/country-page-notes/20-czech-republic.md	reviewed	published	published	passed	2026-06-17	2026-06-17	2026-06-18	2026-06-18	Published after bilingual route and public-boundary QA.
21	v0_candidate	15	Hungary	ハンガリー	hungary	country	profile_ready	remote_complete	reviewed	docs/country-page-notes/21-hungary.md	reviewed	complete	complete	not_started	2026-06-18	2026-06-19	2026-06-19		Reviewed profile v2 completed; publication QA remains.
22	v0_candidate	16	Malta	マルタ	malta	country	profile_ready	remote_complete	reviewed	docs/country-page-notes/22-malta.md	reviewed	complete	complete	not_started	2026-06-18	2026-06-19	2026-06-19		Reviewed profile v2 completed; publication QA remains.
23	v0_candidate	17	Austria	オーストリア	austria	country	profile_ready	remote_partial	reviewed	docs/country-page-notes/23-austria.md	reviewed	complete	complete	not_started	2026-06-18	2026-06-19	2026-06-19		Reviewed profile v2 completed; publication QA remains.
24	v0_candidate	19	Puerto Rico	プエルトリコ	puerto-rico	country	profile_ready	remote_complete	reviewed	docs/country-page-notes/24-puerto-rico.md	reviewed	complete	complete	not_started	2026-06-18	2026-06-19	2026-06-19		Reviewed profile v2 completed; publication QA remains.
25	v0_candidate	20	Jamaica	ジャマイカ	jamaica	country	profile_ready	remote_complete	reviewed	docs/country-page-notes/25-jamaica.md	reviewed	complete	complete	not_started	2026-06-18	2026-06-19	2026-06-19		Reviewed profile v2 completed; publication QA remains.
26	v0_candidate	21	Trinidad and Tobago	トリニダード・トバゴ	trinidad-and-tobago	country	profile_ready	remote_complete	reviewed	docs/country-page-notes/26-trinidad-and-tobago.md	reviewed	complete	complete	not_started	2026-06-18	2026-06-19	2026-06-19		Reviewed profile v2 completed; publication QA remains.
